parent_area, processing_area, node_id, coc, vendor, qos, goodstype, flow, sellerLocationId, externalization, destinationHubId, mappedHubId, destinationTag, bagClosingTag, bagServiceType, fbeBin, bagLabelText
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KVH,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MGD,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/POC,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/NSI,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/ERS,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/NZM,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/WRL,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KVH,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/AYD,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SNT,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SNH,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SKR,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/PYD,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KKP,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/BLN,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/ERS,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/AYD,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SNH,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/PYD,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,GJL/GJL,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
