 Status,count
AnnapurnaJhabuaODH_JBA,143
SITICSNarasinghpurODH_NSG,143
PitampuraMPhub_DEL,143
DaltonganjSplitODH_DTO,141
TehattaMDH_TEH,140
KokarSplitHub_IXR,140
SonakhaliHub_CNG,140
IdentifyPlusAmreliODH_AMR,139
KochasMDH_KOC,139
AgiaonMDH_JHD,139
PandebeswarHub_BMG,138
AsharuHub_ASH,137
CABTBalarampurODH_BPR,135
TaldangraMDH_VSU,134
AdityapurHub_IXW,133
NabadwipHub_NDA,132
GarhwaSplitODH_GHQ,132
NagriMDH_IXR,130
Champuahub_KDJ,130
NtpcMDH_TLH,130
MangolpuriMPHub_DEL,129
JhantipahariHub_JHI,128
GovindpurMDH_DBD,128
ElasticRunPinguaODH_PNG,127
SuhnatHub_BAW,126
CABTTirtolODH_TTL,126
Rupnarayanpurhub_ASN,126
PrincyKhambatODH_KHA,125
SaraikelaMDH_SIN,124
GiddiMDH_RMT,124
MoynaODH_MYO,123
GudiakatiniHub_ANG,121
VxpressBeroODH_BER,120
ShalimarGardenMPHub_DEL,120
MajhdiaHub_MIJ,120
BokarothermalODH_BKR,120
ElasticRunMahuvaODH_MHV,118
OdagaonMDH_ODA,117
AshokviharMPHub_DEL,117
CABTManbazarODH_MZR,117
KatrakalaMDH_BBU,117
NagarukharaMDH_HBR,115
ChhatarpurMDH_DTO,115
KhanakulMDH_AMB,115
Phase3NoidaMPHub_DEL,115
AdaspurMDH_ADP,114
PrincySanandODH_SND,114
CABTKumardungiODH_KMD,113
AmaonbaraonHub_ABN,111
NuapatnaMDH_BBI,111
NokhaMDH_SSM,110
ChhatralMDH_CHT,110
VxpressSayalODH_SAY,109
IdentifyplusJashpurODH_JSP,109
SimdegaMDH_SMD,109
BenipattiMDH_MBI,108
HazaribaghSplitODH_HZB,108
RajnagarMDH_KNP,107
SikariparaMDH_SIK,107
KanaipurODH_KNP,106
ElasticRunBankiODH_BNK,106
RAIRANGPURMDH_RNG,106
AnbaHub_AWB,105
AnandapurHub_ADP,105
TTSPLJambusarODH_JBS,105
MuriHub_MUR,104
BadambaHub_BBI,104
BankraMDH_KOL,103
IndupurHub_KNP,102
TTSPLKhedaODH_KDA,102
IPextensionMPHub_DEL,102
ItkoriMDH_CTR,101
RanihatiHub_ULB,100
MotibaghMPhub_DEL,100
NamkhanaMDH_NAM,100
GopalnagarMDH_GPN,99
ChapraMDH_CHA,98
JafrabadMDH_JAF,97
FatehPurMDH_RJL,97
TTSPLRajpiplaODH_RJP,97
ElasticRunWankanerODH_WKH,96
ElasticRunBaharagoraODH_BAH,95
LesliganjMDH_LSG,94
SildaHub_SLD,94
AranghataHub_NDA,93
DhrangadhraMDH_DHR,93
PurusottampurHub_CAP,93
KamderaHub_KDR,92
SasanHub_KOL,91
TTSPLKhedbrahmaODH_KDB,91
BAHALDAHUB_BHL,90
MohanpurMDH_MHN,90
AkotaMDH_AKT,88
ElasticRunBaneikelaODH_BNK,88
PeeragarhiMPHub_DEL,87
ChandilHub_CNI,87
KanjhawalaMPHub_DEL,85
BilaspurMPHub_DRH,85
BecharajiMDH_BCH,85
MansaMDH_MNS,84
BurariMPHub_DEL,84
NajafgarhMPHub_DEL,84
BamraMDH_JSG,83
PatanMDH_PTN,82
GurgaonMPHub_DEL,82
VxpressSarwaODH_SRW,82
HindolMDH_DKN,80
BaliapurMDH_DBD,80
VxpressHalvadODH_HAL,79
ShadowFaxPatharPratimaODH_PPM,79
FKL_ulbesr,78
RohiniMPhub_DEL,78
BalumathMDH_BBO,78
VxpressDhalbhumgarhODH_DVM,77
SonamuiMDH_DSP,77
BawanaMPHub_DEL,77
SahibabadMPHub_DEL,76
ElasticRunDhapaMDH_KOL,76
GandhinagarMPHub_DEL,76
LunawadaMDH_LUN,75
Padampurhub_GNP,74
IdentifyplusUpletaODH_UPL,73
FaridabadMPHub_DEL,71
KatkamsandiMDH_HZB,71
SherkhiRajulaODH_RJL,70
Kalapatharhub_KLP,69
NarelaMPHub_DEL,69
ChandanKiyariHub_BJE,69
ElasticRunKeshodODH_KSD,68
ElasticRunViramgamODH_VRG,68
NoidaMPHub_DEL,68
CABTNazatODH_NZT,68
Mohanahub_MOH,67
HuraMDH_HUA,67
AtriHub_GAY,66
WelcomeMPHub_DEL,66
AmbabarMDH_DTO,66
CABTBasiaODH_BSI,66
SherkhiPalitanaODH_PLT,66
CABTKhandapadaODH_KDP,63
BaduRoadMDH_KOL,63
JoypurMDH_PRR,62
Fkl-ahmedabad01,62
BalasinorMDH_BLS,60
DhenkikoteMDH_SPN,60
SavarKundlaMDH_SVK,60
JaypurMDH_JAY,59
RamaroadMPhub_DEL,59
ShadowFaxTankaraODH_TNK,58
SitaleswarMDH_STW,58
WazirganjHub_NWD,58
SangamviharMPHub_DEL,58
CABTJalandharMPODH_JLR,57
TamarMDH_TAM,57
MeerutMPHub_MEE,57
SimariaHub_CTR,56
JARMUNDIHUB_JMD,56
LakhisagarMDH_KHT,55
RohODH_NWD,55
ShahdaraMPHub_DEL,55
JASHIPURMDH_JSP,54
 DeliveryHub,53
HarijHub_HRJ,53
KarolbaghMPHub_DEL,50
NehruPlaceMPHub_DEL,50
JasolaMPHub_DEL,50
BanduanHub_BUN,48
ChhatarpurMPHub_DEL,48
DaringbadiMDH_DRI,47
BadshahpurMPHub_DEL,46
SijuaMDH_DMK,45
ChanakyapuriMPHub_DEL,44
KundaitMDH_DMK,39
TalasaraMDH_SDG,37
KuchaiMDH_BPO,37
GhatgaonMDH_GTN,36
AlipurMPHub_DEL,35
GwaliorMPHub_GWL,34
FatehabadMPHub_FHB,33
RudaigiriMDH_RUG,33
BallabhgarhMPHub_Del,33
KashipurSplitMDH_KSP,33
BahadurgarhMPHub_BHD,32
KukurwadaMDH_KKR,31
JiralMDH_DKN,30
DhanyakuriaMDH_BSH,29
KhutaunaODH_MBI,28
ChingudipalMDH_JJK,27
CanningHub_CNG,25
ManpurMDH_GAY,23
MoynapurSpiltMDH_VSU,22
SonepatMPHub_SOP,21
DasnaMPHub_DEL,20
YamunaViharMPHub_DEL,15
AligarhMPHub_ALG,13
fkl_DELFlexYakubpur,13
MoradabadMPHub_MRD,12
KharadaMDH_KHD,12
MathuraMPHub_MTH,10
SITICSPattamundaiODH_PTT,8
RohtakMPHub_ROH,7
SaharanpurMPHub_SHP,6
FirozabadMPHub_FIR,6
KadiMDH_KDI,5
YamunaNagarMPHub_YNR,4
BareillyMPHub_BRY,4
BagodarODH_PNM,4
AmrohaMPHub_AOA,3
AlwarMPHub_ALW,3
HaridwarMPHub_HRD,2
PalwalHub_PLW,2
KashipurHub_KAS,2
MuzaffarnagarMPHub_MFN,2
RoorkeeMPHub_HRD,2
KaithalMPHub_KTL,2
ElasticRunHansiODHMPHub_HNS,2
EcityMPHub_BLR,2
KarnalMPHub_KAL,2
IdentifyPlusTohanaODH_THN,2
VrindavanHub_MTH,1
BharatpurMPHub_BTP,1
ManjuriRoadMDH_BHC,1
ElasticRunSoroODH_SRO,1
SomatanePhataHub_PUNE,1
ModinagarHub_MEE,1
ElasticRunDaspallaODH_DSP,1
UdaipurHubTemp_UDR,1
VibhutiKhandHub_LKO,1
DehradunMPHub_DED,1
KurukshetraMPHub_KUR,1
MatigaraHub_IXB,1
BankiPoreHub_PAT,1
SantacruzHub_MUM,1
GoregaonHub_MUM,1
 sellerLocationId,1
HissarHub_HSS,1
JhajjarHub_JJJ,1
NavsariHub_STV,1
CABTSosyoCircleODH_STV,1
BhiwandiMPHub_BHI,1
